Name,Name,Actions,Species,Database
Theophylline, 1A1,"substrate, inhibitor",Not Specified,DrugBank
Gefitinib, 1A1,"substrate, inhibitor",Not Specified,DrugBank
Melatonin, 1A1,"substrate, inhibitor",Not Specified,DrugBank
Resveratrol, 1A1,"substrate, inhibitor",Not Specified,DrugBank
Menadione, 1A1,"substrate, inducer",Not Specified,DrugBank
Nicotine, 1A1,"substrate, inducer",Not Specified,DrugBank
Troglitazone, 1A1,substrate,Not Specified,DrugBank
Acetaminophen, 1A1,substrate,Not Specified,DrugBank
Chlorzoxazone, 1A1,substrate,Not Specified,DrugBank
Progesterone, 1A1,substrate,Not Specified,DrugBank
Prazosin, 1A1,substrate,Not Specified,DrugBank
Dronabinol, 1A1,substrate,Not Specified,DrugBank
Flutamide, 1A1,substrate,Not Specified,DrugBank
Haloperidol, 1A1,substrate,Not Specified,DrugBank
Oxaliplatin, 1A1,substrate,Not Specified,DrugBank
Erlotinib, 1A1,substrate,Not Specified,DrugBank
Toremifene, 1A1,substrate,Not Specified,DrugBank
Cinnarizine, 1A1,substrate,Not Specified,DrugBank
Clonidine, 1A1,substrate,Not Specified,DrugBank
Diclofenac, 1A1,substrate,Not Specified,DrugBank
Chloroquine, 1A1,substrate,Not Specified,DrugBank
Amodiaquine, 1A1,substrate,Not Specified,DrugBank
Testosterone, 1A1,substrate,Not Specified,DrugBank
Estrone, 1A1,substrate,Not Specified,DrugBank
Tamoxifen, 1A1,substrate,Not Specified,DrugBank
Warfarin, 1A1,substrate,Not Specified,DrugBank
Daunorubicin, 1A1,substrate,Not Specified,DrugBank
Pentamidine, 1A1,substrate,Not Specified,DrugBank
Riluzole, 1A1,substrate,Not Specified,DrugBank
Tretinoin, 1A1,substrate,Not Specified,DrugBank
Estradiol, 1A1,substrate,Not Specified,DrugBank
Dacarbazine, 1A1,substrate,Not Specified,DrugBank
Granisetron, 1A1,substrate,Not Specified,DrugBank
Azelastine, 1A1,substrate,Not Specified,DrugBank
Thalidomide, 1A1,substrate,Not Specified,DrugBank
Fluvastatin, 1A1,substrate,Not Specified,DrugBank
Amiodarone, 1A1,substrate,Not Specified,DrugBank
Carvedilol, 1A1,substrate,Not Specified,DrugBank
Dasatinib, 1A1,substrate,Not Specified,DrugBank
Clenbuterol, 1A1,substrate,Not Specified,DrugBank
Phenacetin, 1A1,substrate,Not Specified,DrugBank
Debrisoquin, 1A1,substrate,Not Specified,DrugBank
Flunarizine, 1A1,substrate,Not Specified,DrugBank
Lorcaserin, 1A1,substrate,Not Specified,DrugBank
Tesmilifene, 1A1,substrate,Not Specified,DrugBank
Banoxantrone, 1A1,substrate,Not Specified,DrugBank
Dapagliflozin, 1A1,substrate,Not Specified,DrugBank
Vitamin A, 1A1,"inhibitor, inducer",Not Specified,DrugBank
Quinine, 1A1,"inhibitor, inducer",Not Specified,DrugBank
Ketoconazole, 1A1,"inhibitor, inducer",Not Specified,DrugBank
Dexamethasone, 1A1,"inhibitor, inducer",Not Specified,DrugBank
Ellagic Acid, 1A1,"inhibitor, inducer",Not Specified,DrugBank
Pyridoxine, 1A1,inhibitor,Not Specified,DrugBank
Cholecalciferol, 1A1,inhibitor,Not Specified,DrugBank
Fluvoxamine, 1A1,inhibitor,Not Specified,DrugBank
Bortezomib, 1A1,inhibitor,Not Specified,DrugBank
Caffeine, 1A1,inhibitor,Not Specified,DrugBank
Sildenafil, 1A1,inhibitor,Not Specified,DrugBank
Ticlopidine, 1A1,inhibitor,Not Specified,DrugBank
Nitroprusside, 1A1,inhibitor,Not Specified,DrugBank
Amlodipine, 1A1,inhibitor,Not Specified,DrugBank
Methoxsalen, 1A1,inhibitor,Not Specified,DrugBank
Propranolol, 1A1,inhibitor,Not Specified,DrugBank
Sulindac, 1A1,inhibitor,Not Specified,DrugBank
Dexmedetomidine, 1A1,inhibitor,Not Specified,DrugBank
Propofol, 1A1,inhibitor,Not Specified,DrugBank
Ethanol, 1A1,inhibitor,Not Specified,DrugBank
Quinidine, 1A1,inhibitor,Not Specified,DrugBank
Clobetasol propionate, 1A1,inhibitor,Not Specified,DrugBank
Norfloxacin, 1A1,inhibitor,Not Specified,DrugBank
Isoprenaline, 1A1,inhibitor,Not Specified,DrugBank
Ouabain, 1A1,inhibitor,Not Specified,DrugBank
Nifedipine, 1A1,inhibitor,Not Specified,DrugBank
Arsenic trioxide, 1A1,inhibitor,Not Specified,DrugBank
Mibefradil, 1A1,inhibitor,Not Specified,DrugBank
Omeprazole, 1A1,inducer,Not Specified,DrugBank
Clozapine, 1A1,inducer,Not Specified,DrugBank
Streptozocin, 1A1,inducer,Not Specified,DrugBank
Lansoprazole, 1A1,inducer,Not Specified,DrugBank
Picrotoxin, 1A1,inducer,Not Specified,DrugBank
Albendazole, 1A1,inducer,Not Specified,DrugBank
Clofibrate, 1A1,inducer,Not Specified,DrugBank
Mebendazole, 1A1,inducer,Not Specified,DrugBank
Fluorescein, 1A1,inducer,Not Specified,DrugBank
Thiabendazole, 1A1,inducer,Not Specified,DrugBank
Dicyclomine, 1A1,inducer,Not Specified,DrugBank
Clomifene, 1A1,inducer,Not Specified,DrugBank
Primaquine, 1A1,inducer,Not Specified,DrugBank
Rabeprazole, 1A1,inducer,Not Specified,DrugBank
Itraconazole, 1A1,inducer,Not Specified,DrugBank
Phenobarbital, 1A1,inducer,Not Specified,DrugBank
Bezafibrate, 1A1,inducer,Not Specified,DrugBank
2-Methoxyestradiol, 1A1,,Not Specified,DrugBank
Azimilide, 1A1,,Not Specified,DrugBank
Benzyl alcohol, 1A1,,Not Specified,DrugBank
,,,Not Specified,DrugBank
Name, 2B6,Actions,Not Specified,DrugBank
Cholecalciferol, 2B6,inhibitor,Not Specified,DrugBank
Fluvoxamine, 2B6,inhibitor,Not Specified,DrugBank
Nicotine, 2B6,substrate,Not Specified,DrugBank
Tramadol, 2B6,substrate,Not Specified,DrugBank
Troglitazone, 2B6,inducer,Not Specified,DrugBank
Erythromycin, 2B6,substrate,Not Specified,DrugBank
Ticlopidine, 2B6,inhibitor,Not Specified,DrugBank
Citalopram, 2B6,inhibitor,Not Specified,DrugBank
Nelfinavir, 2B6,inhibitor,Not Specified,DrugBank
Temazepam, 2B6,substrate,Not Specified,DrugBank
Nevirapine, 2B6,"substrate, inducer",Not Specified,DrugBank
Phenytoin, 2B6,inducer,Not Specified,DrugBank
Clotrimazole, 2B6,"inhibitor, inducer",Not Specified,DrugBank
Lidocaine, 2B6,substrate,Not Specified,DrugBank
Venlafaxine, 2B6,inhibitor,Not Specified,DrugBank
Ropivacaine, 2B6,substrate,Not Specified,DrugBank
