Drug,CYP***,Action,Species,Database,refence_1,reference_2,reference_3,Strength
Acyclovir (USP), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Acyclovir sodium (USAN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Allopurinol (JP17/USP/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Allopurinol sodium, 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Amiodarone (USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Amiodarone hydrochloride (JP17/USAN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Anastrozole (JAN/USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Caffeine (USP), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Caffeine hydrate (JP17), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Caffeine citrate (USP), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Cimetidine (JP17/USP/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Cimetidine hydrochloride (USP), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Ciprofloxacin (JP17/USP/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Strong
Ciprofloxacin hydrochloride (USP), 1A2, inhibitor, Not Specified, KEGG, , , , Strong
Ciprofloxacin lactate, 1A2, inhibitor, Not Specified, KEGG, , , , Strong
Clinafloxacin hydrochloride (USAN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Daidzein, 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Deferasirox (JAN/USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Disulfiram (JP17/USP/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Echinacea, 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Enoxacin (USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Strong
Enoxacin hydrate (JP17), 1A2, inhibitor, Not Specified, KEGG, , , , Strong
Etintidine hydrochloride (USAN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Famotidine (JP17/USP/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Fluvoxamine (INN), 1A2, inhibitor, Not Specified, KEGG, , , , Strong
Fluvoxamine maleate (JP17/USAN), 1A2, inhibitor, Not Specified, KEGG, , , , Strong
Grepafloxacin, 1A2, inhibitor, Not Specified, KEGG, , , , 
Grepafloxacin hydrochloride (JAN/USAN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Idrocilamide (INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Methoxsalen (JP17/USP), 1A2, inhibitor, Not Specified, KEGG, , , , Moderate
Mexiletine (INN), 1A2, inhibitor, Not Specified, KEGG, , , , Moderate
Mexiletine hydrochloride (JP17/USP), 1A2, inhibitor, Not Specified, KEGG, , , , Moderate
Mibefradil (INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Mibefradil dihydrochloride (USAN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Norfloxacin (JP17/USP/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Norfloxacin nicotinate, 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Pefloxacin (USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Pefloxacin mesylate (USAN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Peginterferon alfa-2a (USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Phenylpropanolamine (INN), 1A2, inhibitor, Not Specified, KEGG, , , , Moderate
Phenylpropanolamine hydrochloride (JAN/USP), 1A2, inhibitor, Not Specified, KEGG, , , , Moderate
Phenylpropanolamine polistirex (USAN), 1A2, inhibitor, Not Specified, KEGG, , , , Moderate
Pipemidic acid (INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Pipemidic acid hydrate (JP17), 1A2, inhibitor, Not Specified, KEGG, , , , 
Piperine, 1A2, inhibitor, Not Specified, KEGG, , , , 
Propafenone (INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Propafenone hydrochloride (JP17/USP), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Propranolol (INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Propranolol hydrochloride (JP17/USP), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Rofecoxib (JAN/USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Stiripentol (JAN/USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Terbinafine (USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Terbinafine hydrochloride (JP17/USP), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Thiabendazole (USP), 1A2, inhibitor, Not Specified, KEGG, , , , Moderate
Ticlopidine (INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Ticlopidine hydrochloride (JP17/USAN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Vemurafenib (JAN/USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Moderate
Verapamil (USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Verapamil hydrochloride (JP17/USP), 1A2, inhibitor, Not Specified, KEGG, , , , Weak
Viloxazine (INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Viloxazine hydrochloride (USAN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Zafirlukast (JAN/USAN/INN), 1A2, inhibitor, Not Specified, KEGG, , , , 
Zileuton (USP/INN), 1A2, inhibitor, Not Specified, KEGG, , , , Moderate
Letrozole (JAN/USP/INN), 2A6, inhibitor, Not Specified, KEGG, , , , 
Methoxsalen (JP17/USP), 2A6, inhibitor, Not Specified, KEGG, , , , 
Clopidogrel (USP/INN), 2B6, inhibitor, Not Specified, KEGG, , , , Weak
Clopidogrel bisulfate (USAN), 2B6, inhibitor, Not Specified, KEGG, , , , Weak
Prasugrel hydrochloride (JAN/USAN), 2B6, inhibitor, Not Specified, KEGG, , , , Weak
Tenofovir (USAN), 2B6, inhibitor, Not Specified, KEGG, , , , 
Tenofovir disoproxil fumarate (JAN/USAN), 2B6, inhibitor, Not Specified, KEGG, , , , 
Tenofovir alafenamide (USAN/INN), 2B6, inhibitor, Not Specified, KEGG, , , , 
Tenofovir alafenamide fumarate (USAN/JAN), 2B6, inhibitor, Not Specified, KEGG, , , , 
Thiotepa (JAN/USP/INN), 2B6, inhibitor, Not Specified, KEGG, , , , 
Ticlopidine (INN), 2B6, inhibitor, Not Specified, KEGG, , , , Weak
Ticlopidine hydrochloride (JP17/USAN), 2B6, inhibitor, Not Specified, KEGG, , , , Weak
Voriconazole (JP17/USAN/INN), 2B6, inhibitor, Not Specified, KEGG, , , , 
