DRUG,CYP****,RELATION,SPECIES,DATABASE,REFERENCES,OTHER INTERACTIONS,DRUG INFO
, 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
2-(4-chlorphenoxy)-ethanol , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Acriflavinium chloride , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Albendazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Alum , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Alum , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Amiloride , 1A1,inhibitor ,rat ,SuperCYP,show reference,show interactions,show drug info
Amiodarone , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Amlodipine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Amodiaquine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Arsenic trioxide , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Arsenic trioxide , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ascorbic acid , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Ascorbic acid (vit C) , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
atazanavir , 1A1,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Benidipine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Benoxaprofen , 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Benzydamine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Betacarotene , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Betacarotene , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Bezafibrate , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Bortezomib , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Caffeine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Capsaicin , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Capsaicin , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chinin , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Chinin , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Chloroquine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chlorothiazide , 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
